;2P;2PA;2P_p;3P;3PA;3P_p;AST;BLK;DRB;FG;FGA;FG_p;FT;FTA;FT_p;G;GS;MP;ORB;PF;PTS;STL;TOV;TRB;eFG_p
LaMarcus Aldridge;7.8;15.8;.492;0.1;0.3;.257;1.9;1.0;5.8;7.8;16.1;.487;3.5;4.4;.802;722;681;34.9;2.6;2.6;19.2;0.8;1.6;8.4;.490
Larry Johnson;5.7;11.3;.505;0.5;1.6;.332;3.3;0.4;5.0;6.2;12.9;.484;3.2;4.2;.766;707;699;36.3;2.5;2.7;16.2;0.7;2.0;7.5;.505
Latrell Sprewell;5.4;12.1;.451;1.2;3.6;.337;4.0;0.4;3.2;6.7;15.7;.425;3.8;4.7;.804;913;868;38.6;0.8;1.8;18.3;1.4;2.7;4.1;.464
LeBron James;8.5;15.7;.538;1.4;4.0;.340;6.9;0.8;6.0;9.8;19.7;.498;6.2;8.3;.744;987;986;39.0;1.2;1.9;27.2;1.7;3.4;7.2;.532
Luol Deng;5.2;10.9;.482;0.7;2.2;.334;2.4;0.5;4.5;6.0;13.0;.458;2.9;3.7;.771;823;776;35.3;1.7;1.7;15.5;1.0;1.7;6.2;.486
Manu Ginobili;3.1;6.2;.501;1.5;3.9;.369;4.0;0.3;3.0;4.6;10.1;.450;3.4;4.2;.827;923;349;26.3;0.7;2.1;14.0;1.4;2.1;3.7;.522
Marc Gasol;5.4;10.6;.507;0.0;0.1;.182;3.1;1.5;5.8;5.4;10.7;.503;3.5;4.6;.764;569;562;33.7;2.0;3.1;14.3;0.9;2.0;7.8;.504
Mehmet Okur;3.8;7.9;.484;0.9;2.5;.375;1.7;0.7;5.0;4.8;10.4;.458;3.0;3.8;.797;634;460;29.1;2.0;2.9;13.5;0.5;1.6;7.0;.503
Metta World Peace;3.6;8.1;.447;1.2;3.5;.340;2.7;0.5;3.4;4.8;11.6;.415;2.7;3.7;.716;966;838;32.4;1.2;2.7;13.5;1.8;1.8;4.6;.466
Michael Finley;4.8;10.2;.467;1.3;3.5;.375;2.9;0.3;3.3;6.1;13.7;.444;2.2;2.7;.811;1103;875;34.4;1.0;1.6;15.7;0.9;1.5;4.4;.492
Michael Redd;5.0;10.6;.475;1.7;4.4;.380;2.1;0.1;2.8;6.7;15.0;.447;4.0;4.8;.838;629;429;32.0;1.0;1.6;19.0;0.9;1.5;3.8;.503
Mo Williams;3.6;7.9;.460;1.3;3.5;.378;4.9;0.1;2.3;5.0;11.4;.434;1.9;2.2;.871;818;525;29.2;0.5;2.5;13.2;0.9;2.3;2.8;.493
Nick Van Exel;3.5;8.2;.433;1.7;4.9;.357;6.6;0.1;2.5;5.3;13.0;.405;2.1;2.7;.794;880;670;32.9;0.4;1.6;14.4;0.8;2.1;2.9;.471
Pau Gasol;6.9;13.4;.514;0.1;0.2;.297;3.3;1.7;6.8;7.0;13.7;.510;4.2;5.6;.755;1055;1042;35.3;2.7;2.2;18.2;0.5;2.3;9.5;.513
Paul George;3.9;8.4;.462;1.9;5.2;.364;3.1;0.4;5.4;5.8;13.6;.425;3.5;4.2;.838;373;325;32.2;0.9;2.6;16.9;1.7;2.5;6.2;.494
Paul Millsap;4.9;9.6;.516;0.3;1.0;.334;2.2;1.0;5.1;5.3;10.6;.499;3.0;4.1;.732;768;492;29.1;2.3;3.2;13.9;1.3;1.8;7.4;.514
Paul Pierce;4.9;10.3;.478;1.6;4.4;.369;3.6;0.6;4.8;6.6;14.7;.445;5.2;6.5;.807;1318;1278;34.6;0.8;2.7;20.0;1.3;2.7;5.7;.500
Peja Stojakovic;3.8;7.9;.484;2.2;5.5;.401;1.8;0.1;3.8;6.0;13.3;.450;2.8;3.1;.895;804;665;33.5;0.9;1.7;17.0;0.9;1.4;4.7;.532
Penny Hardaway;5.0;10.1;.489;0.7;2.3;.316;5.0;0.4;3.1;5.7;12.4;.458;3.1;4.0;.774;704;557;33.7;1.4;2.2;15.2;1.6;2.5;4.5;.486
Rajon Rondo;4.3;8.8;.488;0.3;1.0;.289;8.7;0.1;3.7;4.6;9.8;.468;1.5;2.5;.606;645;592;32.9;1.1;2.3;11.0;1.8;2.9;4.8;.483
