player;nba_draft;listed_height;listed_weight;nationality;college;high_school;playing_career;position;draft_year;draft_round;draft_pick
Walt Hazzard;1964 / Round: Territorial pick;6 ft 2 in (1.88 m);185 lb (84 kg);American;UCLA (1961–1964);Moton (Easton, Maryland) Overbrook (Philadelphia, Pennsylvania);1964–1974;Guard;1964 ; Round: Territorial pick;
Walter Davis;1977 / Round: 1 / Pick: 5th overall;6 ft 6 in (1.98 m);193 lb (88 kg);American;North Carolina (1973–1977);South Mecklenburg (Charlotte, North Carolina);1977–1992;Shooting guard / Small forward;1977 ; Round: 1 ; Pick: 5th overall
Walter Dukes;1953 / Pick: Territorial;7 ft 0 in (2.13 m);220 lb (100 kg);American;Seton Hall (1950–1953);East (Rochester, New York);1953–1969;Center;1953 ; Pick: Territorial;
Wayne Embry;1958 / Round: 3 / Pick: 22nd overall;6 ft 8 in (2.03 m);240 lb (109 kg);American;Miami (Ohio) (1955–1958);Tecumseh (New Carlisle, Ohio);1958–1969;Center / Power forward;1958 ; Round: 3 ; Pick: 22nd overall
Wes Unseld;1968 / Round: 1 / Pick: 2nd overall;6 ft 7 in (2.01 m);245 lb (111 kg);American;Louisville (1965–1968);Seneca (Louisville, Kentucky);1968–1981;Center / Power forward;1968 ; Round: 1 ; Pick: 2nd overall
Willie Naulls;1956 / Round: 2 / Pick: 9th overall;6 ft 6 in (1.98 m);225 lb (102 kg);American;UCLA (1953–1956);San Pedro (San Pedro, California);1956–1966;Power forward / Center;1956 ; Round: 2 ; Pick: 9th overall
Willis Reed;1964 / Round: 2 / Pick: 8th overall;6 ft 9 in (2.06 m);240 lb (109 kg);American;Grambling State (1960–1964);West Side (Lillie, Louisiana);1964–1974;Center;1964 ; Round: 2 ; Pick: 8th overall
Wilt Chamberlain;1959 / Pick: Territorial;7 ft 1 in (2.16 m);275 lb (125 kg);American;Kansas (1956–1958);Overbrook (Philadelphia, Pennsylvania);1959–1973;Center;1959 ; Pick: Territorial;
Woody Sauldsberry;1957 / Round: 8 / Pick: 60th overall;6 ft 7 in (2.01 m);220 lb (100 kg);American;Texas Southern;Compton Union (Compton, California);1955–1966;Power forward / Center;1957 ; Round: 8 ; Pick: 60th overall
World B. Free;1975 / Round: 2 / Pick: 23rd overall;6 ft 2 in (1.88 m);185 lb (84 kg);American;Guilford (1972–1975);Canarsie (Brooklyn, New York);1975–1991;Guard;1975 ; Round: 2 ; Pick: 23rd overall
Xavier McDaniel;1985 / Round: 1 / Pick: 4th overall;6 ft 7 in (2.01 m);218 lb (99 kg);American;Wichita State (1981–1985);A.C. Flora (Columbia, South Carolina);1985–1998;Small forward / Power forward;1985 ; Round: 1 ; Pick: 4th overall
Yao Ming;2002 / Round: 1 / Pick: 1st overall;7 ft 6 in (2.29 m);310 lb (141 kg);Chinese;;;1997–2011;Center;2002 ; Round: 1 ; Pick: 1st overall
Zach Randolph;2001 / Round: 1 / Pick: 19th overall;6 ft 9 in (2.06 m);260 lb (118 kg);American;Michigan State (2000–2001);Marion (Marion, Indiana);2001–present;Power forward;2001 ; Round: 1 ; Pick: 19th overall
